Page,Section,Field,EN,ZH,ZH-TW,Source,Notes
News,Hero,line1,Fresh from the field.,一线快讯。,一線快訊。,translation-table.csv,Rows 19 and 28
News,Home news,viewAll,View all,查看全部,查看全部,translation-table.csv,Row 20
News,News page,sectionTitleLine1,The latest from,最新资讯来自,最新資訊來自,translation-table.csv,Row 21
News,News page,sectionTitleAccent,Basicware,Basicware,Basicware,translation-table.csv,Row 22
News,News page,sectionEyebrow,News & Press Release,新闻与新闻稿,新聞與新聞稿,translation-table.csv,Row 23
News,News page,sectionBody,"Updates, partnerships, and field notes from Basicware's work across AI, cloud, and enterprise transformation.",汇集 Basicware 在 AI、云和企业转型领域的最新动态、合作进展与一线观察。,匯集 Basicware 在 AI、雲和企業轉型領域的最新動態、合作進展與一線觀察。,translation-table.csv,Row 24
News,Press release labels,officialHeading,Official release,官方新闻稿,官方新聞稿,translation-table.csv,Row 25
Footer,Tagline,taglineAccent,Infinite,无限可能,無限可能,agent-translated,Locale-aware accent substring replacing English split
Contact,Email card,reachUsAt,Reach us at,联系我们,聯繫我們,existing-inline,Moved inline locale string to messages
Product detail,Section labels,chrome,The Problem / How it works / What's included / Who it's for / Ready to get started? / Talk to our team about the right solution for you. / Frequently asked,问题所在 / 运作方式 / 核心功能 / 适合哪些人 / 准备好开始了吗？ / 联系我们，了解适合您团队的方案。 / 常见问题,問題所在 / 運作方式 / 核心功能 / 適合哪些人 / 準備好開始了嗎？ / 聯繫我們，了解適合您團隊的方案。 / 常見問題,existing-inline,Moved inline section labels to messages
BasicRouter,Final CTA,finalCta,Talk to our team,联系我们,聯繫我們,existing-inline,Moved inline locale string to messages
News article,Share button,share states,Share / Copied / Link copied,分享 / 已复制 / 链接已复制,分享 / 已複製 / 連結已複製,agent-translated,Localized visible button text and aria label
News,Pagination,aria labels,Previous page / Next page / Page {page},上一页 / 下一页 / 第 {page} 页,上一頁 / 下一頁 / 第 {page} 頁,agent-translated,Localized aria labels
About,Values,title + subtitle,What drives us / Five principles that shape how we work with every client in every market.,什么驱动着我们 / 五项原则，指引我们在每个市场、与每位客户的合作方式。,什麼驅動著我們 / 五項原則，指引我們在每個市場、與每位客戶的合作方式。,translation-table.csv,Simplified script fixed in zh.json
Solutions listing,UI chrome,headings and CTAs,Five ways we help / Learn more → / The results speak / Let's find your fastest path to AI growth,五种方式助您增长 / 了解更多 → / 成果不言而喻 / 让我们找到您最快的 AI 增长路径,五種方式助您增長 / 了解更多 → / 成果不言而喻 / 讓我們找到您最快的 AI 增長路徑,agent-translated,Added solutionsPage namespace
